"tag";"bandNumber";"Color";"species";"sex";"age";"Wing.chord.num";"Site";"captureSite"
"011016B831";"8383673";"MCTN";"Blue";NA;"1a";NA;"M1";"M1"
"011016CCDB";"8383123";"TYXM";"Great";"F";"1a";75;"M1";"M1"
"011016F19B";"8425005";"MBTV";"Blue";NA;"+1a";67;"M1";"M1"
"011016E03F";"8383380";"BMTV";"Great";"F";"1a";74;"M1";"Grotte aliou"
"0110173010";"8239750";"TWPM";"Great";"M";"+1a";76;"M1";"M1"
"0700EE39BD";"8383692";"MOTR";"Great";"F";"1a";76;"M1";"M1"
"0110171E49";"8214632";"PMTG";"Blue";"M";"+1a";66;"Nest";"Nest"
"011016E627";"8383587";"BMTV";"Blue";NA;"+1a";65;"M1";"M1"
"01103F89B7";"8383681";"TVRM";"Great";"F";"1a";72;"M1";"M1"
"0700EDE8CF";"8383719";"EMTY";"Blue";NA;"1a";64.5;"M1";"M1"
"011016ADC8";"8383689";"UMTV";"Blue";NA;"1a";64;"M1";"M1"
"0700EDB2DF";"7719643";"TAMN";"Blue";"M";"+1a";68;"M1";"Nest"
"011016AEC3";"8425271";"YMTV";"Blue";"M";"1a";66;"M1";"M1"
"0700ED9C7B";"7476853";"TCYM";"Great";"F";"+1a";76;"M1";"M1"
"0110174692";"8214658";"MGTG";"Blue";"F";"+1a";65;"M1";"Nest"
"011017009E";"8239764";"TGPM";"Blue";"M";"+1a";68;"M1";"M1"
"011016F90E";"8239976";"MOTV";"Blue";"F";"1a";66;"M1";"M1"
"0700EDC240";"8214339";"UMTR";"Great";"M";"+1a";78;"M1";"M1"
"01101724AA";"8383627";"MYTG";"Great";"M";"1a";77;"M1";"M1"
"01101735C7";"8239748";"BMTW";"Great";"F";"+1a";73.5;"M1";"M1"
"0700ED87E5";"8214631";"MOTW";"Blue";"F";"+1a";67;"M1";"Nest"
"01101700E3";"8214344";"MOTG";"Blue";"F";"+1a";62;"M1";"Nest"
"0110171D38";"8383500";"MNTW";"Great";"M";"1a";77;"L1";"L1"
"0700EE28F4";"8239758";"TROM";"Great";"F";"1a";75;"M1";"M1"
"011016D9B2";"8383672";"MNTV";"Marsh";NA;"+1a";60;"M1";"M1"
"0700EE1614";"7476829";"PMTC";"Marsh";NA;"+1a";67;"M1";"M1"
"0700ED989F";"8425003";"TRJM";"Great";"M";"+1a";77.5;"M1";"M1"
"011017A107";"8383674";"MCTC";"Blue";NA;NA;64;"M1";"M1"
"011016CC27";"8383630";"MPTV";"Blue";NA;"1a";64;"M1";"M1"
"011016C2BD";"8383701";"TVBM";"Great";"F";"+1a";75.5;"M1";"M1"
"0700EDD8A5";"7969132";"MXTR";"Blue";"F";"+1a";65;"M1";"M1"
"011017228A";"8383713";"CMTW";"Blue";NA;"1a";65.5;"M1";"M1"
"0700EDC5CC";"7720720";"TYRM";"Blue";"F";"+1a";65;"M1";"L1"
"011016A9FC";"8383678";"TVMY";"Great";"F";"1a";75;"M1";"M1"
"01101751D3";"7969012";"TNXM";"Blue";"M";"+1a";69;"M1";"M1"
"01101737EB";"7720594";"TGYM";"Blue";NA;"+1a";70;"M1";"M1"
"030003B074";"7720973";"TAPM";"Great";"M";"+1a";75;"M1";"M1"
"0700EDC3FF";"7969182";"TRMO";"Blue";NA;"+1a";65;"M1";"M1"
"030001B66B";"8383728";"TACM";"Blue";NA;NA;68;"M1";"M1"
"0700EDC10D";"8383694";"MUTY";"Blue";NA;"1a";64;"M1";"M1"
"0700EE0192";"8239765";"TANM";"Great";"M";"1a";75;"M1";"M1"
"01101716E2";"8425416";"EMTW";"Blue";NA;"+1a";65;"M1";"M1"
"011017022E";"8383626";"TGXM";"Great";"F";"1a";72;"M1";"M1"
"011016A730";"8383688";"AMTV";"Blue";NA;"+1a";63.5;"M1";"M1"
"011016A257";"8425046";"VMTV";"Great";"M";"+1a";77.5;"M1";"M1"
"0700EE353D";"8383685";"TACM";"Great";"F";"1a";70;"M1";"M1"
"0700ED9B24";"8239792";"TAUM";"Blue";"F";"1a";65;"M1";"M1"
"0700EDCB95";"8383727";"TYCM";"Blue";NA;NA;66;"M1";"M1"
"011016CE92";"8383676";"TVMP";"Great";"M";"1a";77;"M1";"M1"
"011016BF5B";"8383675";"TVMV";"Great";"M";"1a";74;"M1";"M1"
"011016AC2C";"8383453";"CMTG";"Blue";NA;"+1a";67;"M1";"M1"
"011016A79E";"8383695";"MNTV";"Great";"M";"1a";77;"M1";"M1"
"011016A500";"8383682";"TVRM";"Blue";NA;"+1a";65;"M1";"M1"
"0700EDBCF0";"7720578";"TWME";"Blue";NA;"+1a";69.5;"M1";"M1"
"011016B1CB";"8383691";"RMTV";"Blue";NA;"1a";65;"M1";"M1"
"01101799B2";"7476687";"TCPM";"Blue";"M";"+1a";68;"M1";"M1"
"01101712C5";"8383662";"TGUM";"Great";"F";"+1a";75;"C1";"C1"
"0700EDF36D";"8239740";"VMTR";"Marsh";NA;NA;64;"M1";"M1"
"0700ED937E";"8425335";"EMTC";"Blue";NA;"1a";69;"M1";"M1"
"01101799E9";"8383684";"TRUM";"Blue";NA;"1a";65;"M1";"M1"
"0110170823";"8383687";"TNCM";"Blue";NA;"1a";65;"M1";"M1"
"030003C028";"6956476";"MGTA";"Blue";"M";"+1a";68;"M1";"Nest"
"0700EDEED3";"8239977";"PMTA";"Blue";"F";"1a";65;"M1";"M1"
"011017A64D";"8383718";"CMTR";"Marsh";NA;NA;67;"M1";"M1"
"011016AE43";"8383693";"WMTV";"Blue";NA;"1a";65;"M1";"M1"
"011016F71F";"8383715";"TVOM";"Blue";NA;"1a";64.5;"M1";"M1"
"011016EC76";"8425424";"TVMP";"Blue";NA;"1a";66;"M1";"M1"
"011016F178";"8425422";"TVMX";"Blue";"M";"1a";69;"M1";"M1"
"011017A27D";"8383696";"TRCM";"Blue";NA;"1a";66;"M1";"M1"
"011017142D";"8383372";"RMTW";"Great";"M";NA;77;"L1";"L1"
"0110170601";"8239933";"WMTW";"Blue";"M";"1a";66;"M1";"M1"
"011017441E";"8383631";"TNJM";"Blue";NA;"1a";65.5;"M1";"M1"
"011016E841";"8425157";"OMTV";"Marsh";NA;NA;65.5;"M1";"M1"
"0110172D2D";"8214489";"MPTG";"Blue";"F";"+1a";66;"M1";"Nest"
"01101735E0";"8383716";"EMTG";"Great";"F";"1a";72;"M1";"M1"
"0700EDBF66";"8383590";"CMTA";"Great";"M";"1a";77;"M1";"M1"
"011016F762";"8383205";"CMTV";"Great";"F";"1a";75;"L1";"L1"
"0110170F29";"8425292";"TGJM";"Blue";"M";"1a";66;"M1";"M1"
"011016F709";"8425362";"UMTY";"Great";"F";"1a";72;"M1";"M1"
"0110179AE1";"8214362";"CMTV";"Blue";NA;"+1a";67;"M1";"M1"
"01101732BF";"8383714";"CMTN";"Blue";NA;"1a";61.5;"M1";"M1"
"0110172022";"8383726";"TGRM";"Great";"F";"1a";73;"M1";"M1"
"0110171AA1";"8383378";"NMTG";"Great";"M";"1a";76;"L1";"L1"
"0110170D2D";"8383069";"MGTW";"Great";"F";"1a";70;"M1";"M1"
"011016B138";"8214399";"TVWM";"Blue";"M";"1a";66;"M1";"M1"
"0700ED9FF2";"8383476";"MUTY";"Great";"M";"1a";77;"AU";"AU"
